date,event,impact
2025-04-28,School Summer Vacation,medium
2025-04-29,School Summer Vacation,medium
2025-04-30,School Summer Vacation,medium
2025-05-01,School Summer Vacation,medium
2025-05-02,School Summer Vacation,medium
2025-05-03,School Summer Vacation,medium
2025-05-04,School Summer Vacation,medium
2025-05-05,School Summer Vacation,medium
2025-05-06,School Summer Vacation,medium
2025-05-07,School Summer Vacation,medium
2025-05-08,School Summer Vacation,medium
2025-05-09,School Summer Vacation,medium
2025-05-10,School Summer Vacation,medium
2025-05-11,School Summer Vacation,medium
2025-05-12,School Summer Vacation,medium
2025-05-13,School Summer Vacation,medium
2025-05-14,School Summer Vacation,medium
2025-05-15,School Summer Vacation,medium
2025-05-16,School Summer Vacation,medium
2025-05-17,School Summer Vacation,medium
2025-05-18,School Summer Vacation,medium
2025-05-19,School Summer Vacation,medium
2025-05-20,School Summer Vacation,medium
2025-05-21,School Summer Vacation,medium
2025-05-22,School Summer Vacation,medium
2025-05-23,School Summer Vacation,medium
2025-05-24,School Summer Vacation,medium
2025-05-25,School Summer Vacation,medium
2025-05-26,School Summer Vacation,medium
2025-05-27,School Summer Vacation,medium
2025-05-28,School Summer Vacation,medium
2025-05-29,School Summer Vacation,medium
2025-05-30,School Summer Vacation,medium
2025-05-31,School Summer Vacation,medium
2025-06-09,Tech Meetup at Lalbagh,high
2025-06-10,Music Night in Indiranagar,high
2025-06-15,Community Exhibit near Bangalore Palace,high
2025-06-16,Nature Marathon at Lalbagh,low
2025-06-17,Dance Showcase at Jayanagar,medium
2025-06-18,Community Fair in Koramangala,medium
2025-06-20,Film Celebration at Lalbagh,medium
2025-06-22,Food Night at Cubbon Park,low
2025-06-30,Art Gala near Bangalore Palace,high
2025-07-05,Tech Expo at Lalbagh,high
2025-07-07,Community Ceremony at Whitefield,medium
2025-07-09,Film Market at the Namma Metro Station,medium
2025-07-11,Book Fair near Bangalore Palace,low
2025-07-16,Cultural Conference at Cubbon Park,high
2025-07-18,Innovation Conference in MG Road,medium
2025-07-19,Cultural Ceremony near Bangalore Palace,medium
2025-07-20,Nature Drive in Koramangala,medium
2025-07-24,Dance Parade in MG Road,high
2025-07-27,Community Night at Whitefield,medium
2025-07-29,Tech Fair in Indiranagar,low
2025-08-01,Nature Festival in Koramangala,low
2025-08-02,Art Showcase at Whitefield,medium
2025-08-05,Tech Marathon at Ulsoor Lake,high
2025-08-13,Innovation Drive at Cubbon Park,medium
2025-08-15,Independence Day,high
2025-08-16,Wine Fair in Electronic City,medium
2025-08-19,Nature Meetup in Indiranagar,medium
2025-08-20,Book Exhibit in MG Road,medium
2025-08-26,Wine Meetup at Cubbon Park,medium
2025-08-28,Film Celebration in Indiranagar,low
2025-08-29,Comedy Ceremony in HSR Layout,high
2025-08-30,Film Meetup in MG Road,high
2025-08-31,Food Drive at Lalbagh,medium
2025-09-01,Tech Festival in Electronic City,medium
2025-09-06,Ganesha Chaturthi,high
2025-09-08,Book Meetup in HSR Layout,high
2025-09-10,Wine Market in Koramangala,low
2025-09-13,Innovation Festival in Electronic City,medium
